MOLID	SMILES
BGC0000001_abyssomicin_c	C[C@@H](C1=O)C[C@H](C)C/C=C/[C@H]([C@@H](O)[C@@H]2OC3=C1C4=O)[C@]3(O4)C[C@H]2C
BGC0000001_atrop-abyssomicin_c	C[C@@H](C1=O)C[C@H](C)C/C=C/[C@H]([C@@H](O)[C@@H]2OC3=C1C4=O)[C@]3(O4)C[C@H]2C
BGC0000002_aculeximycin	CCC[C@H]([C@@H](C)[C@H]([C@H](CC)/C=C/[C@@H]([C@@H](C)[C@@H]1C/C=C(/[C@H]([C@H]([C@@H](C[C@H]([C@H]([C@@H](CC2C[C@@H]([C@H]([C@](O2)(C[C@H]([C@H](CC[C@H](C[C@H](C/C=C(/C(=O)O1)\CC)O)O)C)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C)O)O[C@H]4C[C@H]([C@@H]([C@H](O4)C)O)N)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C)O)O)O)O)O)O)O)C)O)O[C@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)\C)O)O)O[C@H]7C[C@]([C@@H]([C@@H](O7)C)O)(C)N
BGC0000003_af-toxin	CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O
BGC0000004_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000005_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000006_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000007_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000008_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000009_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000010_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000011_aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
BGC0000011_sterigmatocystin	COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O
BGC0000012_alternapyrone	COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O
BGC0000013_alternariol	CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O
BGC0000014_ambruticin	CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C
